Date,Close/Last,Volume,Open,High,Low
11/21/2025,$255.59,7714645,$249.50,$259.00,$233.72
11/20/2025,$233.24,7680894,$280.00,$282.6599,$229.585
11/19/2025,$268.92,6481801,$258.96,$280.22,$253.95
11/18/2025,$247.43,5416381,$245.35,$252.83,$232.11
11/17/2025,$242.07,4212323,$236.50,$252.12,$233.00
11/14/2025,$232.15,4483856,$215.52,$237.22,$215.35
11/13/2025,$226.86,5436526,$248.07,$249.39,$220.34
11/12/2025,$253.81,4959774,$262.46,$270.00,$250.795
11/11/2025,$252.47,3518546,$252.01,$259.1999,$248.895
11/10/2025,$259.89,7156781,$256.765,$273.892,$255.72
11/07/2025,$240.11,5621250,$233.64,$243.75,$227.12
11/06/2025,$239.68,7209907,$243.72,$258.35,$236.98
11/05/2025,$232.75,11152680,$218.50,$240.7099,$213.00
11/04/2025,$188.36,5864261,$187.80,$197.07,$184.20
11/03/2025,$199.58,5246876,$208.69,$210.99,$196.47
10/31/2025,$201.56,3449855,$201.21,$206.99,$197.19
10/30/2025,$200.13,4242437,$206.57,$212.94,$198.54
10/29/2025,$214.28,6030158,$201.09,$214.50,$198.11
10/28/2025,$198.39,3168836,$193.81,$199.82,$188.30
10/27/2025,$193.80,5437782,$193.63,$206.91,$190.06
10/24/2025,$179.30,4055508,$175.55,$182.08,$173.73
10/23/2025,$168.50,2404389,$158.81,$170.17,$157.395
10/22/2025,$158.06,2407345,$164.53,$166.91,$152.54
10/21/2025,$162.95,2416945,$161.00,$165.7563,$157.50
10/20/2025,$161.00,2675005,$164.18,$169.98,$160.60
10/17/2025,$164.77,2075480,$160.63,$170.60,$160.44
10/16/2025,$163.23,2608211,$159.88,$168.10,$158.6201
10/15/2025,$156.57,2393439,$162.45,$162.45,$154.62
10/14/2025,$156.78,2443976,$155.52,$161.19,$152.78
10/13/2025,$160.56,2837873,$158.30,$160.78,$155.41
10/10/2025,$149.61,3375899,$160.80,$160.80,$147.81
10/09/2025,$159.76,1854372,$163.66,$165.03,$159.19
10/08/2025,$163.09,2258467,$159.38,$163.66,$158.47
10/07/2025,$157.15,2524297,$160.99,$162.749,$154.11
10/06/2025,$160.60,3114099,$169.00,$170.76,$158.21
10/03/2025,$163.81,3197369,$170.88,$171.80,$159.70
10/02/2025,$169.75,2194972,$176.75,$178.4931,$166.0589
10/01/2025,$171.40,3262198,$159.24,$173.60,$158.60
09/30/2025,$162.71,1709677,$161.88,$165.4999,$160.00
09/29/2025,$162.58,2385177,$165.00,$165.87,$162.27
09/26/2025,$160.75,2310248,$157.36,$160.85,$156.07
09/25/2025,$159.11,4751829,$146.62,$160.8299,$144.52
09/24/2025,$152.75,5478413,$162.475,$163.10,$151.37
09/23/2025,$163.99,3051966,$164.65,$166.315,$161.22
09/22/2025,$164.71,4080326,$169.38,$170.04,$161.21
09/19/2025,$168.73,4448258,$171.37,$172.50,$167.57
09/18/2025,$171.50,3518041,$167.36,$173.385,$167.125
09/17/2025,$163.34,4947563,$168.71,$169.5777,$160.845
09/16/2025,$170.90,2925072,$168.65,$171.87,$167.15
09/15/2025,$168.77,3859197,$163.66,$171.48,$162.71
09/12/2025,$163.02,2954325,$163.78,$166.50,$161.58
09/11/2025,$164.88,3672384,$166.15,$168.005,$161.57
09/10/2025,$164.88,5793990,$159.50,$167.96,$158.30
09/09/2025,$151.73,2154078,$149.02,$152.65,$148.01
09/08/2025,$149.40,3453603,$150.99,$152.25,$148.42
09/05/2025,$149.46,6409743,$149.50,$152.27,$144.20
09/04/2025,$141.91,8464834,$137.00,$142.01,$133.91
09/03/2025,$134.12,5218999,$132.34,$135.25,$130.97
09/02/2025,$132.555,2671632,$127.87,$132.88,$125.00
08/29/2025,$132.81,2842694,$136.46,$137.10,$131.18
08/28/2025,$135.55,6643922,$128.25,$137.08,$127.11
08/27/2025,$125.84,2972175,$124.86,$128.21,$123.7785
08/26/2025,$124.62,3018816,$124.39,$127.0299,$123.50
08/25/2025,$123.42,2887583,$120.00,$125.40,$119.25
08/22/2025,$119.34,2679832,$116.835,$121.99,$115.89
08/21/2025,$117.43,1867729,$115.89,$117.8366,$115.205
08/20/2025,$115.89,3361655,$115.14,$116.59,$111.20
08/19/2025,$117.96,3167530,$117.60,$119.13,$115.42
08/18/2025,$118.98,2973913,$116.45,$119.17,$115.00
08/15/2025,$115.86,3165255,$113.61,$116.50,$112.20
08/14/2025,$114.62,5323980,$117.31,$121.99,$112.56
08/13/2025,$120.23,9253184,$123.30,$129.98,$117.9301
08/12/2025,$119.66,5893958,$116.195,$120.30,$116.03
08/11/2025,$115.03,4315472,$116.69,$119.41,$114.01
08/08/2025,$116.27,2694616,$112.80,$116.35,$112.19
08/07/2025,$111.13,1339204,$111.00,$113.00,$108.71
08/06/2025,$110.01,2283391,$109.575,$110.92,$108.34
08/05/2025,$108.15,1648276,$111.73,$111.99,$106.16
08/04/2025,$111.13,1427835,$108.795,$111.20,$107.02
08/01/2025,$106.68,2431726,$103.84,$108.45,$101.61
07/31/2025,$110.08,2170740,$110.64,$114.1199,$109.65
07/30/2025,$109.85,1927893,$109.40,$111.24,$107.89
07/29/2025,$109.48,2399239,$109.38,$112.10,$108.01
07/28/2025,$107.17,1264754,$105.02,$107.24,$104.50
07/25/2025,$104.52,914468,$102.88,$104.63,$101.22
07/24/2025,$102.85,1186609,$102.52,$103.65,$101.80
07/23/2025,$102.13,2827329,$101.67,$104.61,$99.92
07/22/2025,$99.63,3131157,$103.13,$103.48,$97.5514
07/21/2025,$103.84,3612152,$102.22,$105.47,$100.53
07/18/2025,$102.22,1800633,$103.49,$103.90,$100.41
07/17/2025,$102.64,2921879,$99.63,$103.02,$99.29
07/16/2025,$99.63,2048955,$98.10,$99.68,$95.18
07/15/2025,$98.14,3303475,$95.85,$98.55,$94.321
07/14/2025,$92.24,1840776,$92.75,$93.86,$90.98
07/11/2025,$92.99,1403220,$92.19,$94.15,$91.925
07/10/2025,$92.62,2149321,$90.795,$92.78,$88.93
07/09/2025,$90.44,2333878,$91.46,$91.765,$89.016
07/08/2025,$91.31,1714750,$92.90,$94.08,$90.66
07/07/2025,$91.08,1561252,$91.66,$92.475,$89.82
07/03/2025,$92.75,1019464,$91.14,$93.675,$90.965
07/02/2025,$91.24,3004630,$90.14,$91.29,$88.37
07/01/2025,$91.49,2937934,$92.97,$93.61,$88.74
06/30/2025,$95.06,2980461,$95.00,$96.68,$94.26
06/27/2025,$94.75,2785251,$94.695,$95.4299,$92.77
06/26/2025,$94.71,1709082,$92.53,$94.94,$92.40
06/25/2025,$91.77,1381456,$92.93,$93.36,$91.225
06/24/2025,$91.81,2091108,$90.26,$92.525,$89.61
06/23/2025,$89.16,1537467,$88.88,$89.89,$86.63
06/20/2025,$89.66,2105111,$90.345,$90.65,$88.0818
06/18/2025,$88.46,2434918,$87.35,$90.20,$86.5746
06/17/2025,$86.345,1870621,$84.64,$87.13,$83.59
06/16/2025,$85.78,2361119,$83.42,$88.21,$83.42
06/13/2025,$82.465,1667313,$83.20,$84.50,$81.93
06/12/2025,$85.50,1997168,$82.35,$86.42,$82.00
06/11/2025,$82.36,1799952,$83.67,$84.20,$81.04
06/10/2025,$81.96,2069118,$83.74,$83.74,$80.39
06/09/2025,$82.11,1273953,$82.27,$83.37,$80.6645
06/06/2025,$81.46,1694845,$83.00,$83.45,$80.435
06/05/2025,$81.64,3464178,$82.01,$84.99,$81.1045
06/04/2025,$80.28,4865066,$83.755,$84.0389,$79.495
06/03/2025,$77.65,1851083,$76.12,$79.35,$75.62
06/02/2025,$75.86,1800604,$73.00,$76.26,$72.29
05/30/2025,$72.28,3313876,$74.06,$74.49,$71.04
05/29/2025,$75.41,1750124,$80.00,$80.00,$75.12
05/28/2025,$77.90,1531254,$78.64,$79.20,$76.875
05/27/2025,$78.37,1438625,$77.395,$79.68,$76.68
05/23/2025,$75.77,1133215,$73.89,$75.90,$73.59
05/22/2025,$75.88,1237269,$75.70,$76.90,$75.29
05/21/2025,$75.95,1718973,$76.93,$78.49,$75.18
05/20/2025,$77.11,1028381,$77.02,$77.43,$76.28
05/19/2025,$77.87,1178277,$75.88,$77.95,$75.75
05/16/2025,$77.95,2352670,$77.98,$78.93,$75.76
05/15/2025,$77.76,2523974,$76.87,$79.00,$76.55
05/14/2025,$78.29,4938323,$74.94,$78.60,$74.82
05/13/2025,$74.51,2888007,$71.80,$75.25,$71.375
05/12/2025,$71.73,3730073,$70.75,$72.15,$69.26
05/09/2025,$64.87,2324314,$66.07,$66.83,$63.98
05/08/2025,$65.66,4051990,$67.815,$68.25,$64.89
05/07/2025,$66.24,5554591,$66.17,$67.06,$60.38
05/06/2025,$64.42,4884607,$60.87,$64.60,$60.50
05/05/2025,$63.17,1819982,$61.49,$63.83,$61.49
05/02/2025,$62.86,2509471,$63.35,$64.59,$62.305
05/01/2025,$61.52,2560469,$61.865,$64.41,$61.45
